"","common.name","frequency"
"221","Iceland Gull",2
"222","Lark Sparrow",2
"223","Long-billed Dowitcher",2
"224","Marsh Wren",2
"225","Mourning Warbler",2
"226","Pectoral Sandpiper",2
"227","Prairie Warbler",2
"228","Rusty Blackbird",2
"229","Snow Bunting",2
"230","Spruce Grouse",2
"231","American Tree Sparrow",1
"232","Cattle Egret",1
"233","Cory's Shearwater",1
"234","Gadwall",1
"235","Glaucous Gull",1
"236","King Eider",1
"237","Lapland Longspur",1
"238","Lesser Scaup",1
"239","Manx Shearwater",1
"240","Northern Pintail",1
"241","Red Knot",1
"242","Roseate Tern",1
"243","Sooty Shearwater",1
