order,super.family,family,genus,scientific.name
Lepidoptera,Geometroidea,Geometridae,Cyclophora,Cyclophora myrtaria
Lepidoptera,Geometroidea,Geometridae,Cyclophora,Cyclophora pendulinaria
Lepidoptera,Geometroidea,Geometridae,Digrammia,Digrammia continuata
Lepidoptera,Geometroidea,Geometridae,Digrammia,Digrammia mellistrigata
Lepidoptera,Geometroidea,Geometridae,Disclisioprocta,Disclisioprocta stellata
Lepidoptera,Geometroidea,Geometridae,Drepanulatrix,Drepanulatrix foeminaria
Lepidoptera,Geometroidea,Geometridae,DysStröma,DysStröma citrata
Lepidoptera,Geometroidea,Geometridae,DysStröma,DysStröma hersiliata
Lepidoptera,Geometroidea,Geometridae,DysStröma,DysStröma truncata
Lepidoptera,Geometroidea,Geometridae,Ecliptopera,Ecliptopera silaceata
Lepidoptera,Geometroidea,Geometridae,Ectropis,Ectropis crepuscularia
Lepidoptera,Geometroidea,Geometridae,Ematurga,Ematurga amitaria
Lepidoptera,Geometroidea,Geometridae,Ennomos,Ennomos magnaria
Lepidoptera,Geometroidea,Geometridae,Ennomos,Ennomos subsignaria
Lepidoptera,Geometroidea,Geometridae,Entephria,Entephria aurata
Lepidoptera,Geometroidea,Geometridae,Epelis,Epelis truncataria
Lepidoptera,Geometroidea,Geometridae,Epirrita,Epirrita autumnata
Lepidoptera,Geometroidea,Geometridae,Erannis,Erannis tiliaria
Lepidoptera,Geometroidea,Geometridae,Eubaphe,Eubaphe mendica
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena amoenaria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena effecta
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena irraria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena johnsonaria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena madusaria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena marginaria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena obtusaria
Lepidoptera,Geometroidea,Geometridae,Euchlaena,Euchlaena serrata
Lepidoptera,Geometroidea,Geometridae,Eufidonia,Eufidonia discospilata
Lepidoptera,Geometroidea,Geometridae,Eufidonia,Eufidonia notataria
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis destinata
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis diversilineata
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis explanata
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis gracilineata
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis serrataria
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis testata
Lepidoptera,Geometroidea,Geometridae,Eulithis,Eulithis xylina
Lepidoptera,Geometroidea,Geometridae,Euphyia,Euphyia intermediata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia absinthiata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia annulata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia anticaria
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia coloradensis
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia columbiata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia fletcherata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia gelidata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia interruptofasciata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia intricata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia miserulata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia palpata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia perfusca
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia ravocostaliata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia russeliata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia satyrata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia strattonata
Lepidoptera,Geometroidea,Geometridae,Eupithecia,Eupithecia subfuscata
Lepidoptera,Geometroidea,Geometridae,Eusarca,Eusarca confusaria
Lepidoptera,Geometroidea,Geometridae,Eutrapela,Eutrapela clemataria
Lepidoptera,Geometroidea,Geometridae,Glena,Glena cognataria
Lepidoptera,Geometroidea,Geometridae,Gueneria,Gueneria similaria
Lepidoptera,Geometroidea,Geometridae,Haematopis,Haematopis grataria
Lepidoptera,Geometroidea,Geometridae,Hesperumia,Hesperumia sulphuraria
Lepidoptera,Geometroidea,Geometridae,Hethemia,Hethemia pistasciaria
Lepidoptera,Geometroidea,Geometridae,Homochlodes,Homochlodes fritillaria
Lepidoptera,Geometroidea,Geometridae,Horisme,Horisme intestinata
Lepidoptera,Geometroidea,Geometridae,Hydrelia,Hydrelia inornata
Lepidoptera,Geometroidea,Geometridae,Hydriomena,Hydriomena divisaria
Lepidoptera,Geometroidea,Geometridae,Hydriomena,Hydriomena perfracta
Lepidoptera,Geometroidea,Geometridae,Hydriomena,Hydriomena pluviata
Lepidoptera,Geometroidea,Geometridae,Hydriomena,Hydriomena renunciata
Lepidoptera,Geometroidea,Geometridae,Hydriomena,Hydriomena ruberata
Lepidoptera,Geometroidea,Geometridae,Hypagyrtis,Hypagyrtis piniata
Lepidoptera,Geometroidea,Geometridae,Hypagyrtis,Hypagyrtis unipunctata
Lepidoptera,Geometroidea,Geometridae,Idaea,Idaea rotundopennata
Lepidoptera,Geometroidea,Geometridae,Iridopsis,Iridopsis ephyraria
Lepidoptera,Geometroidea,Geometridae,Iridopsis,Iridopsis humaria
Lepidoptera,Geometroidea,Geometridae,Iridopsis,Iridopsis larvaria
Lepidoptera,Geometroidea,Geometridae,Iridopsis,Iridopsis vellivolata
Lepidoptera,Geometroidea,Geometridae,Lambdina,Lambdina fiscellaria
Lepidoptera,Geometroidea,Geometridae,Ligdia,Ligdia wagneri
Lepidoptera,Geometroidea,Geometridae,Lobophora,Lobophora nivigerata
Lepidoptera,Geometroidea,Geometridae,Lomographa,Lomographa glomeraria
Lepidoptera,Geometroidea,Geometridae,Lomographa,Lomographa semiclarata
Lepidoptera,Geometroidea,Geometridae,Lomographa,Lomographa vestaliata
Lepidoptera,Geometroidea,Geometridae,Lycia,Lycia ursaria
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria bisignata
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria granitata
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria minorata
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria notata
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria oweni
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria sexmaculata
Lepidoptera,Geometroidea,Geometridae,Macaria,Macaria signaria
Lepidoptera,Geometroidea,Geometridae,Melanolophia,Melanolophia signataria
Lepidoptera,Geometroidea,Geometridae,Mesoleuca,Mesoleuca ruficillata
Lepidoptera,Geometroidea,Geometridae,Mesothea,Mesothea incertata
Lepidoptera,Geometroidea,Geometridae,Metanema,Metanema determinata
Lepidoptera,Geometroidea,Geometridae,Metanema,Metanema inatomaria
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis amyrisaria
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis duaria
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis hypocharia
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis hypochraria
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis obfirmaria
Lepidoptera,Geometroidea,Geometridae,Metarranthis,Metarranthis warneri
Lepidoptera,Geometroidea,Geometridae,Nemoria,Nemoria mimosaria
Lepidoptera,Geometroidea,Geometridae,Nemoria,Nemoria rubrifrontaria
Lepidoptera,Geometroidea,Geometridae,Nepytia,Nepytia canosaria
Lepidoptera,Geometroidea,Geometridae,Nepytia,Nepytia pellucidaria
Lepidoptera,Geometroidea,Geometridae,Operophtera,Operophtera bruceata
Lepidoptera,Geometroidea,Geometridae,Orthofidonia,Orthofidonia flavivenata
Lepidoptera,Geometroidea,Geometridae,Orthofidonia,Orthofidonia tinctaria
Lepidoptera,Geometroidea,Geometridae,Orthonama,Orthonama obstipata
Lepidoptera,Geometroidea,Geometridae,Perizoma,Perizoma basaliata
Lepidoptera,Geometroidea,Geometridae,Pero,Pero ancetaria
Lepidoptera,Geometroidea,Geometridae,Pero,Pero honestaria
Lepidoptera,Geometroidea,Geometridae,Pero,Pero morrisonaria
Lepidoptera,Geometroidea,Geometridae,Petrophora,Petrophora subaequaria
Lepidoptera,Geometroidea,Geometridae,Phaeoura,Phaeoura quernaria
Lepidoptera,Geometroidea,Geometridae,Phigalia,Phigalia titea
Lepidoptera,Geometroidea,Geometridae,Plagodis,Plagodis alcoolaria
Lepidoptera,Geometroidea,Geometridae,Plagodis,Plagodis phlogosaria
Lepidoptera,Geometroidea,Geometridae,Plagodis,Plagodis serinaria
Lepidoptera,Geometroidea,Geometridae,Plemyria,Plemyria georgii
Lepidoptera,Geometroidea,Geometridae,Pleuroprucha,Pleuroprucha insulsaria
Lepidoptera,Geometroidea,Geometridae,Probole,Probole alienaria
Lepidoptera,Geometroidea,Geometridae,Probole,Probole amicaria
Lepidoptera,Geometroidea,Geometridae,Prochoerodes,Prochoerodes lineola
Lepidoptera,Geometroidea,Geometridae,Protitame,Protitame virginalis
Lepidoptera,Geometroidea,Geometridae,Protoboarmia,Protoboarmia porcelaria
Lepidoptera,Geometroidea,Geometridae,Rheumaptera,Rheumaptera hastata
Lepidoptera,Geometroidea,Geometridae,Rheumaptera,Rheumaptera undulata
Lepidoptera,Geometroidea,Geometridae,Scopula,Scopula cacuminaria
Lepidoptera,Geometroidea,Geometridae,Scopula,Scopula inductata
Lepidoptera,Geometroidea,Geometridae,Scopula,Scopula limboundata
Lepidoptera,Geometroidea,Geometridae,Scopula,Scopula quadrilineata
Lepidoptera,Geometroidea,Geometridae,Selenia,Selenia alciphearia
Lepidoptera,Geometroidea,Geometridae,Sicya,Sicya macularia
Lepidoptera,Geometroidea,Geometridae,Spargania,Spargania luctuata
Lepidoptera,Geometroidea,Geometridae,Spargania,Spargania magnoliata
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza anataria
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza argillacearia
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza bitactata
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza brunneata
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza loricaria
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza pustularia
Lepidoptera,Geometroidea,Geometridae,Speranza,Speranza sulphurea
Lepidoptera,Geometroidea,Geometridae,Spodolepis,Spodolepis substriataria
Lepidoptera,Geometroidea,Geometridae,Synchlora,Synchlora aerata
Lepidoptera,Geometroidea,Geometridae,Tacparia,Tacparia atropunctata
Lepidoptera,Geometroidea,Geometridae,Tacparia,Tacparia detersata
Lepidoptera,Geometroidea,Geometridae,Tetracis,Tetracis cachexiata
Lepidoptera,Geometroidea,Geometridae,Tetracis,Tetracis crocallata
Lepidoptera,Geometroidea,Geometridae,Thera,Thera contractata
Lepidoptera,Geometroidea,Geometridae,Thera,Thera juniperata
Lepidoptera,Geometroidea,Geometridae,Trichodezia,Trichodezia albovittata
Lepidoptera,Geometroidea,Geometridae,Triphosa,Triphosa affirmata
Lepidoptera,Geometroidea,Geometridae,Triphosa,Triphosa haesitata
Lepidoptera,Geometroidea,Geometridae,Venusia,Venusia cambrica
Lepidoptera,Geometroidea,Geometridae,Venusia,Venusia comptaria
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe abrasaria
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe designata
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe ferrugata
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe iduata
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe labradorensis
Lepidoptera,Geometroidea,Geometridae,Xanthorhoe,Xanthorhoe lacustrata
Lepidoptera,Geometroidea,Geometridae,Xanthotype,Xanthotype sospeta
Lepidoptera,Hesperioidea,Hesperiidae,Amblyscirtes,Amblyscirtes hegon
Lepidoptera,Hesperioidea,Hesperiidae,Amblyscirtes,Amblyscirtes vialis
Lepidoptera,Hesperioidea,Hesperiidae,Ancyloxypha,Ancyloxypha numitor
Lepidoptera,Hesperioidea,Hesperiidae,Carterocephalus,Carterocephalus palaemon
Lepidoptera,Hesperioidea,Hesperiidae,Erynnis,Erynnis icelus
Lepidoptera,Hesperioidea,Hesperiidae,Euphyes,Euphyes bimacula
Lepidoptera,Hesperioidea,Hesperiidae,Euphyes,Euphyes vestris
Lepidoptera,Hesperioidea,Hesperiidae,Hesperia,Hesperia comma
Lepidoptera,Hesperioidea,Hesperiidae,Hesperia,Hesperia leonardus
Lepidoptera,Hesperioidea,Hesperiidae,Hesperia,Hesperia sassacus
Lepidoptera,Hesperioidea,Hesperiidae,Poanes,Poanes hobomok
Lepidoptera,Hesperioidea,Hesperiidae,Polites,Polites mystic
Lepidoptera,Hesperioidea,Hesperiidae,Polites,Polites peckius
Lepidoptera,Hesperioidea,Hesperiidae,Polites,Polites themistocles
Lepidoptera,Hesperioidea,Hesperiidae,Thorybes,Thorybes pylades
Lepidoptera,Hesperioidea,Hesperiidae,Wallengrenia,Wallengrenia otho
Lepidoptera,Papilionoidea,Lycaenidae,Callophrys,Callophrys augustinus
Lepidoptera,Papilionoidea,Lycaenidae,Callophrys,Callophrys niphon
Lepidoptera,Papilionoidea,Lycaenidae,Callophrys,Callophrys polios
Lepidoptera,Papilionoidea,Lycaenidae,Celastrina,Celastrina neglecta
Lepidoptera,Papilionoidea,Lycaenidae,Cupido,Cupido comyntas
Lepidoptera,Papilionoidea,Lycaenidae,Erora,Erora laeta
Lepidoptera,Papilionoidea,Lycaenidae,Feniseca,Feniseca tarquinius
Lepidoptera,Papilionoidea,Lycaenidae,Lycaena,Lycaena epixanthe
Lepidoptera,Papilionoidea,Lycaenidae,Lycaena,Lycaena phlaeas
Lepidoptera,Papilionoidea,Lycaenidae,Plebejus,Plebejus saepiolus
Lepidoptera,Papilionoidea,Lycaenidae,Satyrium,Satyrium calanus
Lepidoptera,Papilionoidea,Lycaenidae,Satyrium,Satyrium edwardsii
Lepidoptera,Papilionoidea,Lycaenidae,Strymon,Strymon melinus
Lepidoptera,Noctuoidea,Noctuidae,Abagrotis,Abagrotis alternata
Lepidoptera,Noctuoidea,Noctuidae,Abagrotis,Abagrotis anchocelioides
Lepidoptera,Noctuoidea,Noctuidae,Abagrotis,Abagrotis brunneipennis
Lepidoptera,Noctuoidea,Noctuidae,Abagrotis,Abagrotis cupida
Lepidoptera,Noctuoidea,Noctuidae,Abagrotis,Abagrotis placida
Lepidoptera,Noctuoidea,Noctuidae,Achatodes,Achatodes zeae
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta afflicta
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta americana
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta dactylina
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta grisea
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta hamamelis
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta hasta
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta impleta
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta impressa
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta innotata
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lanceolaria
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lepusculina
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lithospila
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta lobeliae
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta morula
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta tritona
Lepidoptera,Noctuoidea,Noctuidae,Acronicta,Acronicta vulpina
Lepidoptera,Noctuoidea,Noctuidae,Actebia,Actebia fennica
Lepidoptera,Noctuoidea,Noctuidae,Agnorisma,Agnorisma bugrai
Lepidoptera,Noctuoidea,Noctuidae,Agriopodes,Agriopodes fallax
Lepidoptera,Noctuoidea,Noctuidae,Agrotis,Agrotis ipsilon
Lepidoptera,Noctuoidea,Noctuidae,Agrotis,Agrotis venerabilis
Lepidoptera,Noctuoidea,Noctuidae,Agrotis,Agrotis vetusta
Lepidoptera,Noctuoidea,Noctuidae,Agrotis,Agrotis volubilis
Lepidoptera,Noctuoidea,Noctuidae,Alypia,Alypia langtoni
Lepidoptera,Noctuoidea,Noctuidae,Amphipoea,Amphipoea americana
Lepidoptera,Noctuoidea,Noctuidae,Amphipoea,Amphipoea interoceanica
Lepidoptera,Noctuoidea,Noctuidae,Amphipyra,Amphipyra pyramidoides
Lepidoptera,Noctuoidea,Noctuidae,Amphipyra,Amphipyra tragopoginis
Lepidoptera,Noctuoidea,Noctuidae,Anagrapha,Anagrapha falcifera
Lepidoptera,Noctuoidea,Noctuidae,Anaplectoides,Anaplectoides prasina
Lepidoptera,Noctuoidea,Noctuidae,Anaplectoides,Anaplectoides pressus
Lepidoptera,Noctuoidea,Noctuidae,Anarta,Anarta trifolii
Lepidoptera,Noctuoidea,Noctuidae,Anathix,Anathix puta
Lepidoptera,Noctuoidea,Noctuidae,Anathix,Anathix ralla
Lepidoptera,Noctuoidea,Noctuidae,Andropolia,Andropolia contacta
Lepidoptera,Noctuoidea,Noctuidae,Anhimella,Anhimella contrahens
Lepidoptera,Noctuoidea,Noctuidae,Anicla,Anicla illapsa
Lepidoptera,Noctuoidea,Noctuidae,Anicla,Anicla lubricans
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea alia
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea amputatrix
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea cogitata
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea devastator
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea dubitans
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea impulsa
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea inordinata
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea lignicolora
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea nigrior
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea remissa
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea scoparia
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea sordens
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea verbascoides
Lepidoptera,Noctuoidea,Noctuidae,Apamea,Apamea vultuosa
Lepidoptera,Noctuoidea,Noctuidae,Aplectoides,Aplectoides condita
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa ampla
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa bimaculata
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa flagellum
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa mappa
Lepidoptera,Noctuoidea,Noctuidae,Autographa,Autographa precationis
Lepidoptera,Noctuoidea,Noctuidae,Balsa,Balsa labecula
Lepidoptera,Noctuoidea,Noctuidae,Balsa,Balsa malana
Lepidoptera,Noctuoidea,Noctuidae,Bellura,Bellura gortynoides
Lepidoptera,Noctuoidea,Noctuidae,Brachylomia,Brachylomia algens
Lepidoptera,Noctuoidea,Noctuidae,Brachylomia,Brachylomia discinigra
Lepidoptera,Noctuoidea,Noctuidae,Callopistria,Callopistria cordata
Lepidoptera,Noctuoidea,Noctuidae,Callopistria,Callopistria mollissima
Lepidoptera,Noctuoidea,Noctuidae,Capis,Capis curvata
Lepidoptera,Noctuoidea,Noctuidae,Capsula,Capsula oblonga
Lepidoptera,Noctuoidea,Noctuidae,Caradrina,Caradrina multifera
Lepidoptera,Noctuoidea,Noctuidae,Cerastis,Cerastis fishii
Lepidoptera,Noctuoidea,Noctuidae,Cerastis,Cerastis salicarum
Lepidoptera,Noctuoidea,Noctuidae,Chaetaglaea,Chaetaglaea sericea
Lepidoptera,Noctuoidea,Noctuidae,Charadra,Charadra deridens
Lepidoptera,Noctuoidea,Noctuidae,Chrysanympha,Chrysanympha formosa
Lepidoptera,Noctuoidea,Noctuidae,Chrysodeixis,Chrysodeixis includens
Lepidoptera,Noctuoidea,Noctuidae,Chytonix,Chytonix palliatricula
Lepidoptera,Noctuoidea,Noctuidae,Coenophila,Coenophila opacifrons
Lepidoptera,Noctuoidea,Noctuidae,Colocasia,Colocasia flavicornis
Lepidoptera,Noctuoidea,Noctuidae,Colocasia,Colocasia propinquilinea
Lepidoptera,Noctuoidea,Noctuidae,Condica,Condica videns
Lepidoptera,Noctuoidea,Noctuidae,Conservula,Conservula anodonta
Lepidoptera,Noctuoidea,Noctuidae,Cosmia,Cosmia calami
Lepidoptera,Noctuoidea,Noctuidae,Crocigrapha,Crocigrapha normani
Lepidoptera,Noctuoidea,Noctuidae,Cryptocala,Cryptocala acadiensis
Lepidoptera,Noctuoidea,Noctuidae,Ctenoplusia,Ctenoplusia oxygramma
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia asteroides
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia convexipennis
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia florea
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia intermedia
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia omissa
Lepidoptera,Noctuoidea,Noctuidae,Cucullia,Cucullia postera
Lepidoptera,Noctuoidea,Noctuidae,Dargida,Dargida diffusa
Lepidoptera,Noctuoidea,Noctuidae,Deltote,Deltote bellicula
Lepidoptera,Noctuoidea,Noctuidae,Diachrysia,Diachrysia aereoides
Lepidoptera,Noctuoidea,Noctuidae,Diachrysia,Diachrysia balluca
Lepidoptera,Noctuoidea,Noctuidae,Diarsia,Diarsia jucunda
Lepidoptera,Noctuoidea,Noctuidae,Diarsia,Diarsia rubifera
Lepidoptera,Noctuoidea,Noctuidae,Dypterygia,Dypterygia rozmani
Lepidoptera,Noctuoidea,Noctuidae,Egira,Egira dolosa
Lepidoptera,Noctuoidea,Noctuidae,Elaphria,Elaphria festivoides
Lepidoptera,Noctuoidea,Noctuidae,Elaphria,Elaphria versicolor
Lepidoptera,Noctuoidea,Noctuidae,Enargia,Enargia decolor
Lepidoptera,Noctuoidea,Noctuidae,Eosphoropteryx,Eosphoropteryx thyatyroides
Lepidoptera,Noctuoidea,Noctuidae,Epiglaea,Epiglaea apiata
Lepidoptera,Noctuoidea,Noctuidae,Eremobina,Eremobina claudens
Lepidoptera,Noctuoidea,Noctuidae,Euchalcia,Euchalcia albavitta
Lepidoptera,Noctuoidea,Noctuidae,Eucirroedia,Eucirroedia pampina
Lepidoptera,Noctuoidea,Noctuidae,Eueretagrotis,Eueretagrotis attentus
Lepidoptera,Noctuoidea,Noctuidae,Eueretagrotis,Eueretagrotis perattentus
Lepidoptera,Noctuoidea,Noctuidae,Euplexia,Euplexia benesimilis
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia,Eupsilia devia
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia,Eupsilia morrisoni
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia,Eupsilia sidus
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia,Eupsilia tristigmata
Lepidoptera,Noctuoidea,Noctuidae,Eurois,Eurois astricta
Lepidoptera,Noctuoidea,Noctuidae,Eurois,Eurois occulta
Lepidoptera,Noctuoidea,Noctuidae,Eutricopis,Eutricopis nexilis
Lepidoptera,Noctuoidea,Noctuidae,Euxoa,Euxoa declarata
Lepidoptera,Noctuoidea,Noctuidae,Euxoa,Euxoa detersa
Lepidoptera,Noctuoidea,Noctuidae,Euxoa,Euxoa fumalis
Lepidoptera,Noctuoidea,Noctuidae,Euxoa,Euxoa messoria
Lepidoptera,Noctuoidea,Noctuidae,Euxoa,Euxoa mimallonis
