order,super.family,family,genus,scientific.name
Hymenoptera,Apoidea,Apidae,Anthophora,Anthophora terminalis
Hymenoptera,Apoidea,Apidae,Apis,Apis mellifera
Hymenoptera,Apoidea,Apidae,Bombus,Bombus affinis
Hymenoptera,Apoidea,Apidae,Bombus,Bombus ashtoni
Hymenoptera,Apoidea,Apidae,Bombus,Bombus bimaculatus
Hymenoptera,Apoidea,Apidae,Bombus,Bombus borealis
Hymenoptera,Apoidea,Apidae,Bombus,Bombus citrinus
Hymenoptera,Apoidea,Apidae,Bombus,Bombus fernaldae
Hymenoptera,Apoidea,Apidae,Bombus,Bombus fervidus
Hymenoptera,Apoidea,Apidae,Bombus,Bombus perplexus
Hymenoptera,Apoidea,Apidae,Bombus,Bombus ternarius
Hymenoptera,Apoidea,Apidae,Bombus,Bombus terricola
Hymenoptera,Apoidea,Apidae,Bombus,Bombus vagans
Hymenoptera,Apoidea,Apidae,Ceratina,Ceratina calcarata
Hymenoptera,Apoidea,Apidae,Ceratina,Ceratina dupla
Hymenoptera,Apoidea,Apidae,Ceratina,Ceratina strenua
Hymenoptera,Apoidea,Apidae,Doerinigiella,Doerinigiella donata
Hymenoptera,Apoidea,Apidae,Epeolus,Epeolus scutellaris
Hymenoptera,Apoidea,Apidae,Habropoda,Habropoda laboriosa
Hymenoptera,Apoidea,Apidae,Melissodes,Melissodes illata
Hymenoptera,Apoidea,Apidae,Melissodes,Melissodes rustica
Hymenoptera,Apoidea,Apidae,Nomada,Nomada cressonii
Hymenoptera,Apoidea,Apidae,Nomada,Nomada cuneata
Hymenoptera,Apoidea,Apidae,Nomada,Nomada perplexa
Hymenoptera,Apoidea,Apidae,Psithyrus,Psithyrus fernaldae
Lepidoptera,Geometroidea,Geometridae,Acasis,Acasis viridata
Lepidoptera,Geometroidea,Geometridae,Aethalura,Aethalura intertexta
Lepidoptera,Geometroidea,Geometridae,Alsophila,Alsophila pometaria
Lepidoptera,Geometroidea,Geometridae,Anavitrinella,Anavitrinella pampinaria
Lepidoptera,Geometroidea,Geometridae,Antepione,Antepione thisoaria
Lepidoptera,Geometroidea,Geometridae,Anticlea,Anticlea multiferata
Lepidoptera,Geometroidea,Geometridae,Anticlea,Anticlea vasiliata
Lepidoptera,Geometroidea,Geometridae,Archiearis,Archiearis infans
Lepidoptera,Geometroidea,Geometridae,Besma,Besma endropiaria
Lepidoptera,Geometroidea,Geometridae,Biston,Biston betularia
Lepidoptera,Geometroidea,Geometridae,Cabera,Cabera erythemaria
Lepidoptera,Geometroidea,Geometridae,Cabera,Cabera variolaria
Lepidoptera,Geometroidea,Geometridae,Campaea,Campaea perlata
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta angustiorata
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta divisata
Lepidoptera,Geometroidea,Geometridae,Caripeta,Caripeta piniata
Lepidoptera,Geometroidea,Geometridae,Cepphis,Cepphis armataria
Lepidoptera,Geometroidea,Geometridae,Chlorochlamys,Chlorochlamys chloroleucaria
Lepidoptera,Geometroidea,Geometridae,Cingilia,Cingilia catenaria
Lepidoptera,Geometroidea,Geometridae,Cladara,Cladara anguilineata
Lepidoptera,Geometroidea,Geometridae,Cladara,Cladara atroliturata
Lepidoptera,Geometroidea,Geometridae,Cladara,Cladara limitaria
Lepidoptera,Geometroidea,Geometridae,Costaconvexa,Costaconvexa centrostrigaria
